title,rank,date,artist,url,region,chart,trend,streams
All I Want for Christmas Is You,146,2017-11-01,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Denmark,top200,NEW_ENTRY,9538
All I Want for Christmas Is You,84,2017-11-01,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Iceland,top200,NEW_ENTRY,1145
All I Want for Christmas Is You,112,2017-11-01,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Ireland,top200,NEW_ENTRY,4783
All I Want for Christmas Is You,170,2017-11-01,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Norway,top200,NEW_ENTRY,11040
All I Want for Christmas Is You,184,2017-11-01,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,United States,top200,NEW_ENTRY,184159
All I Want for Christmas Is You,192,2017-11-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Canada,top200,NEW_ENTRY,21159
All I Want for Christmas Is You,128,2017-11-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Denmark,top200,MOVE_UP,10892
All I Want for Christmas Is You,82,2017-11-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Iceland,top200,MOVE_UP,1172
All I Want for Christmas Is You,200,2017-11-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Ireland,top200,MOVE_DOWN,3787
All I Want for Christmas Is You,193,2017-11-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Netherlands,top200,NEW_ENTRY,18985
All I Want for Christmas Is You,169,2017-11-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Norway,top200,MOVE_UP,11450
All I Want for Christmas Is You,178,2017-11-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,United States,top200,MOVE_UP,197146
All I Want for Christmas Is You,105,2017-11-03,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Denmark,top200,MOVE_UP,15646
All I Want for Christmas Is You,85,2017-11-03,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Iceland,top200,MOVE_DOWN,1336
All I Want for Christmas Is You,199,2017-11-03,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Norway,top200,MOVE_DOWN,11333
All I Want for Christmas Is You,28,2017-12-01,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Australia,top200,MOVE_UP,93924
All I Want for Christmas Is You,8,2017-12-01,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Austria,top200,MOVE_DOWN,18136
