Position;Track_Name;Artist;Streams;URL
1;LA FAMA (with The Weeknd);ROSALIA;309879;https://open.spotify.com/track/6dmXZ9B5HdFAyzHeTneYBK
2;Mon Amour - Remix;zzoilo;305325;https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R
3;Formentera;Aitana;297017;https://open.spotify.com/track/3nfICwo20uiFdEGzgNUSrG
4;DANCE CRIP;Trueno;289350;https://open.spotify.com/track/1kjs5eR4DMzyB0gm1Z8waV
5;Tacones Rojos;Sebastian Yatra;278371;https://open.spotify.com/track/0Be7sopyKMv8Y8npsUkax2
6;Salimo de Noche;Tiago PZK;263549;https://open.spotify.com/track/6P096SaOzrgGxs8NWOfX7M
7;Ateo;C. Tangana;254505;https://open.spotify.com/track/5xiAfKzE3mbxYbOkUZPR11
8;Experimento;Myke Towers;244784;https://open.spotify.com/track/6c32C8T3KlXrbvWSoD5aON
9;Nueva York (Tot*);Bad Gyal;239301;https://open.spotify.com/track/1z5TNHJ4WP2ftKhRpqdoNY
10;Nostálgico;Rvssian;237647;https://open.spotify.com/track/2BEcap3xJtmiPaHKyfQi4e
11;Todo De Ti;Rauw Alejandro;233151;https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
12;Ley Seca;Jhay Cortez;225362;https://open.spotify.com/track/3JCaq3KDSROg3TXhdiDa9n
13;Cúrame;Rauw Alejandro;215490;https://open.spotify.com/track/3PwRuzdphgedcWVUOVYJ7I
14;Una Vaina Loca;Fuego;215206;https://open.spotify.com/track/2qEoAz0i6yEz5dPggABcLH
15;Dile (Homenaje);Jhay Cortez;210835;https://open.spotify.com/track/073yIM7v2j6XadD4Nkn0Fh
16;Yonaguni;Bad Bunny;198373;https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
17;Pepas;Farruko;188234;https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
18;Volando - Remix;Mora;180349;https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
19;Loco;Justin Quiles;171052;https://open.spotify.com/track/6b2HYgqcK9mvktt4GxAu72
20;Su Payita (Gramos);Bad Gyal;164539;https://open.spotify.com/track/2WPFpC4oQxjBpSgsCoQrCf
21;Combo la L;Beny Jr;164038;https://open.spotify.com/track/07hvsxeAYfZFgiLiBos6Pz
22;Volví;Aventura;157342;https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
23;Tu Y Yo (feat. Los del Control);Cano;151893;https://open.spotify.com/track/5pVEORKrVAtcWOEMJlZCFB
24;Súbelo;Anuel AA;151295;https://open.spotify.com/track/3xv8JksRyqHa1lwkM9xvJf
25;La Historia;El Taiger;147285;https://open.spotify.com/track/20RGQHWvqyyacpuxMBeLsZ
26;YIN YAN;Duki;147188;https://open.spotify.com/track/6KGGhJoXrztLp8ZT91zizs
27;Tiroteo - Remix;Marc Seguí;147038;https://open.spotify.com/track/4OwhwvKESFtuu06dTgct7i
28;Ptazeta: Bzrp Music Sessions, Vol. 45;Bizarrap;142277;https://open.spotify.com/track/4axxCbc4tWlpqHP5UbJMc3
29;Anuel AA: Bzrp Music Sessions, Vol. 46;Bizarrap;140669;https://open.spotify.com/track/1mrGEef8GuaEnDdw8J5BQp
30;El Incomprendido;Farruko;138740;https://open.spotify.com/track/2mL37yB3f3Lfy4iiXV02Qf
31;120;Bad Bunny;133280;https://open.spotify.com/track/3KJ3opyV29269SXkPrc19l
32;Pareja Del Año;Sebastian Yatra;132584;https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
33;Colorín Colorado;Justin Quiles;130916;https://open.spotify.com/track/2YZDh5CecWx0qlFiTvqVQ9
34;INMORTALES;Funzo & Baby Loud;130135;https://open.spotify.com/track/4nVuhPrmtIO1m2hRrtxBlI
35;Habla Claro;Eladio Carrion;125795;https://open.spotify.com/track/1Ixi7vcTIvgyeFlbqy1QQ7
36;DÁKITI;Bad Bunny;124235;https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
37;La Old Skul;Rauw Alejandro;123205;https://open.spotify.com/track/6MEBxXI2n3FzPHrGRYFdL8
38;FEEL ME??;Trueno;122040;https://open.spotify.com/track/4kELKaXaNP4EQR8Q8xNIID
39;Qué Más Pues?;J Balvin;119927;https://open.spotify.com/track/6D2TCm4nf5nxAcdGJ7w3QP
40;Enemy (with JID) - from the series Arcane League of Legends;Imagine Dragons;119756;https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
41;Ingobernable;C. Tangana;118175;https://open.spotify.com/track/3SK45LddxlEkzI8OWO9Eyo
42;Cuando Ella Sale;Morad;117093;https://open.spotify.com/track/0bxzF2Kyql0pQ58Mymztue
43;ALMAS GEMELAS;Myke Towers;116041;https://open.spotify.com/track/2KcNrONbZ0hvBPjvrDO2tx
44;Tú Me Dejaste De Querer;C. Tangana;114342;https://open.spotify.com/track/5ddFjrPG8NgQQ6xlOQIVd2
45;Flamenco y Bachata;Daviles de Novelda;113826;https://open.spotify.com/track/6ynErSDSlxqsxg0D3LJ8sK
46;Unfollow;Duki;113208;https://open.spotify.com/track/1rxX4SkYDqluMJcYSijMSH
47;Cold Heart - PNAU Remix;Elton John;111767;https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
48;All I Want for Christmas Is You;Mariah Carey;110984;https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
49;Jóvenes Millonarios;Eladio Carrion;106414;https://open.spotify.com/track/4EbNxZ6ei9q1imUf2Hyo90
50;Sin Frenos;Eladio Carrion;103961;https://open.spotify.com/track/1b62AO1IzcVr5SOgoguc9o
51;Ella;El Bobe;102779;https://open.spotify.com/track/5lFSvyRAeG0asgqBuM5MQW
52;Sexo Virtual;Rauw Alejandro;96011;https://open.spotify.com/track/0giiXonRhODYy4J1iy4Lb3
53;Miénteme;TINI;94213;https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc
54;STAY (with Justin Bieber);The Kid LAROI;93373;https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
55;Easy On Me;Adele;93332;https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
56;Juramento eterno de sal;Álvaro De Luna;90714;https://open.spotify.com/track/23E53f3C9SJ9MqBh1f6hEw
57;Berlín;Aitana;89850;https://open.spotify.com/track/5N5GaRpXYZl5ZKKU5a5LtH
