Position;Track_Name;Artist;Streams;URL
1;Easy On Me;Adele;42352529;https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
2;STAY (with Justin Bieber);The Kid LAROI;34750612;https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
3;INDUSTRY BABY (feat. Jack Harlow);Lil Nas X;30042425;https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
4;abcdefu;GAYLE;27565067;https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
5;Cold Heart - PNAU Remix;Elton John;27005069;https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
6;Heat Waves;Glass Animals;26634236;https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
7;All Too Well (10 Minute Version) (Taylor's Version) (From The Vault);Taylor Swift;24846204;https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
8;Enemy (with JID) - from the series Arcane League of Legends;Imagine Dragons;24384563;https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
9;All I Want for Christmas Is You;Mariah Carey;24176108;https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
10;Shivers;Ed Sheeran;22838373;https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
11;Pepas;Farruko;20821331;https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
12;Oh My God;Adele;20738033;https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
13;Bad Habits;Ed Sheeran;20127727;https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
14;Last Christmas;Wham!;19349663;https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
15;Do It To It;ACRAZE;18263481;https://open.spotify.com/track/20on25jryn53hWghthWWW3
16;My Universe;Coldplay;18173774;https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
17;Woman;Doja Cat;17757787;https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
18;Smokin Out The Window;Bruno Mars;16857004;https://open.spotify.com/track/7sMBvZCSUl99bJLXZaLa0b
19;good 4 u;Olivia Rodrigo;16424756;https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
20;MONEY;LISA;16233494;https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
21;It's Beginning to Look a Lot like Christmas;Michael Bublé;15504798;https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
22;love nwantiti (ah ah ah);CKay;15408500;https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
23;Toxic;BoyWithUke;15116427;https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
24;One Right Now (with The Weeknd);Post Malone;15011719;https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
25;Jingle Bell Rock;Bobby Helms;14983449;https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
26;Kiss Me More (feat. SZA);Doja Cat;14591571;https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
27;Need to Know;Doja Cat;14472775;https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
28;Rockin' Around The Christmas Tree;Brenda Lee;14460190;https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
29;MONTERO (Call Me By Your Name);Lil Nas X;14410769;https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
30;Beggin';Måneskin;14353380;https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
31;love nwantiti (feat. Dj Yo! & AX'EL) - Remix;CKay;14120408;https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
32;THATS WHAT I WANT;Lil Nas X;14013683;https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
33;Santa Tell Me;Ariana Grande;13437236;https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
34;Happier Than Ever;Billie Eilish;13379566;https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
35;Ghost;Justin Bieber;13171012;https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
